time,max_dischrge_[cms]
40921.77,37.32
41280.26,36.41
41987.27,9.5
42342.12,12.24
42284.16,13.92
42305.52,41.62
42315.08,31.78
42352.34,16.77
42356.77,32.82
42377.79,33.6
42395.6,8.79
42380.38,9.34
42706,16.33
42717.9,13.11
42723.7,28.84
42731.36,12.32
43060.24,7.78
43093.54,6.86
43101.24,9.23
43221.55,21.76
43114.78,9.93
43123.26,7.64
43125.42,19.1
43126.38,23.51
43144.23,13.4
43391.14,9.32
43420.21,19.1
43441.88,31.21
43454.04,7.34
43461.32,7.64
43506.53,16.76
43512.28,12.71
43469.25,10.31
43812.04,26.74
43826.44,29.07
44105.18,7.39
43849.16,32.83
