event_id,measure_type,duration_min,block_size,is_full_domain,hist_file,pgw_file,hist_value,pgw_value,diff,ratio,units
1,total,0,0,1,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,21.84530277,17.54262412,-4.302678658,0.803038726,mm
2,total,0,0,1,WRFrain_noPGW_HPE02.mat,WRFrain_PGW_V3_HPE02.mat,34.63492962,33.06429173,-1.570637894,0.954651622,mm
3,total,0,0,1,WRFrain_noPGW_HPE03.mat,WRFrain_PGW_V3_HPE03.mat,15.15181781,11.28234633,-3.869471477,0.744619984,mm
4,total,0,0,1,WRFrain_noPGW_HPE04.mat,WRFrain_PGW_V3_HPE04.mat,42.68588907,41.16354337,-1.522345695,0.96433609,mm
5,total,0,0,1,WRFrain_noPGW_HPE05.mat,WRFrain_PGW_V3_HPE05.mat,0.733789622,0.355182172,-0.37860745,0.484038151,mm
6,total,0,0,1,WRFrain_noPGW_HPE06.mat,WRFrain_PGW_V3_HPE06.mat,2.559751722,0.634197114,-1.925554608,0.247757276,mm
7,total,0,0,1,WRFrain_noPGW_HPE07.mat,WRFrain_PGW_V3_HPE07.mat,8.765824841,8.904267211,0.13844237,1.015793422,mm
8,total,0,0,1,WRFrain_noPGW_HPE08.mat,WRFrain_PGW_V3_HPE08.mat,29.9449678,14.48846289,-15.45650491,0.483836316,mm
9,total,0,0,1,WRFrain_noPGW_HPE09.mat,WRFrain_PGW_V3_HPE09.mat,19.65601222,15.86661244,-3.789399787,0.807214213,mm
10,total,0,0,1,WRFrain_noPGW_HPE10.mat,WRFrain_PGW_V3_HPE10.mat,23.95156631,22.43264195,-1.518924352,0.936583506,mm
11,total,0,0,1,WRFrain_noPGW_HPE11.mat,WRFrain_PGW_V3_HPE11.mat,7.361468549,3.268846236,-4.092622312,0.444048115,mm
12,total,0,0,1,WRFrain_noPGW_HPE12.mat,WRFrain_PGW_V3_HPE12.mat,28.38846965,21.08222509,-7.306244563,0.742633377,mm
13,total,0,0,1,WRFrain_noPGW_HPE13.mat,WRFrain_PGW_V3_HPE13.mat,3.833035844,2.018319417,-1.814716427,0.526558973,mm
14,total,0,0,1,WRFrain_noPGW_HPE14.mat,WRFrain_PGW_V3_HPE14.mat,22.02959021,15.4357532,-6.593837,0.700682721,mm
15,total,0,0,1,WRFrain_noPGW_HPE15.mat,WRFrain_PGW_V3_HPE15.mat,12.4640105,11.99959759,-0.464412907,0.962739689,mm
16,total,0,0,1,WRFrain_noPGW_HPE16.mat,WRFrain_PGW_V3_HPE16.mat,10.45702657,5.970827934,-4.486198635,0.570987163,mm
17,total,0,0,1,WRFrain_noPGW_HPE17.mat,WRFrain_PGW_V3_HPE17.mat,14.38234019,15.16292598,0.780585789,1.054273907,mm
18,total,0,0,1,WRFrain_noPGW_HPE18.mat,WRFrain_PGW_V3_HPE18.mat,3.256929795,1.868060001,-1.388869793,0.573564713,mm
19,total,0,0,1,WRFrain_noPGW_HPE19.mat,WRFrain_PGW_V3_HPE19.mat,3.812129638,4.934313974,1.122184336,1.294372029,mm
20,total,0,0,1,WRFrain_noPGW_HPE20.mat,WRFrain_PGW_V3_HPE20.mat,0.2062012,0.029965514,-0.176235686,0.145321727,mm
21,total,0,0,1,WRFrain_noPGW_HPE21.mat,WRFrain_PGW_V3_HPE21.mat,0.236820744,0.063859068,-0.172961676,0.269651496,mm
22,total,0,0,1,WRFrain_noPGW_HPE22.mat,WRFrain_PGW_V3_HPE22.mat,5.297812463,2.169330627,-3.128481835,0.409476674,mm
23,total,0,0,1,WRFrain_noPGW_HPE23.mat,WRFrain_PGW_V3_HPE23.mat,7.439890904,3.926456485,-3.513434419,0.527757266,mm
24,total,0,0,1,WRFrain_noPGW_HPE24.mat,WRFrain_PGW_V3_HPE24.mat,29.38462345,26.15160506,-3.233018396,0.889975844,mm
25,total,0,0,1,WRFrain_noPGW_HPE25.mat,WRFrain_PGW_V3_HPE25.mat,19.47960385,15.83877245,-3.640831398,0.813095203,mm
26,total,0,0,1,WRFrain_noPGW_HPE26.mat,WRFrain_PGW_V3_HPE26.mat,8.334166277,5.2294294,-3.104736877,0.62746881,mm
27,total,0,0,1,WRFrain_noPGW_HPE27.mat,WRFrain_PGW_V3_HPE27.mat,9.483738549,8.940727511,-0.543011038,0.942742935,mm
28,total,0,0,1,WRFrain_noPGW_HPE28.mat,WRFrain_PGW_V3_HPE28.mat,10.07266802,7.522485811,-2.550182207,0.746821577,mm
29,total,0,0,1,WRFrain_noPGW_HPE29.mat,WRFrain_PGW_V3_HPE29.mat,4.945677457,2.387062977,-2.55861448,0.48265642,mm
30,total,0,0,1,WRFrain_noPGW_HPE30.mat,WRFrain_PGW_V3_HPE30.mat,12.4236725,8.825433045,-3.598239459,0.710372319,mm
