event_id,scenario,threshold_mm_per_hr,event_file,mean_wet_fraction,units
1,historical,0.1,WRFrain_noPGW_HPE01.mat,0.105636038708766,fraction
1,future,0.1,WRFrain_PGW_V3_HPE01.mat,0.0651655788655788,fraction
1,historical,1,WRFrain_noPGW_HPE01.mat,0.0457319488592216,fraction
1,future,1,WRFrain_PGW_V3_HPE01.mat,0.029652207388571,fraction
1,historical,2,WRFrain_noPGW_HPE01.mat,0.0298347955075228,fraction
1,future,2,WRFrain_PGW_V3_HPE01.mat,0.0202454262908808,fraction
1,historical,5,WRFrain_noPGW_HPE01.mat,0.0132400296673024,fraction
1,future,5,WRFrain_PGW_V3_HPE01.mat,0.0100210072755527,fraction
1,historical,7.5,WRFrain_noPGW_HPE01.mat,0.00832862894681077,fraction
1,future,7.5,WRFrain_PGW_V3_HPE01.mat,0.00679530267712086,fraction
1,historical,10,WRFrain_noPGW_HPE01.mat,0.0057977466977467,fraction
1,future,10,WRFrain_PGW_V3_HPE01.mat,0.00504847072119799,fraction
1,historical,20,WRFrain_noPGW_HPE01.mat,0.00210529773257046,fraction
1,future,20,WRFrain_PGW_V3_HPE01.mat,0.00218885357067175,fraction
1,historical,50,WRFrain_noPGW_HPE01.mat,0.00032968142968143,fraction
1,future,50,WRFrain_PGW_V3_HPE01.mat,0.000488712297803207,fraction
1,historical,60,WRFrain_noPGW_HPE01.mat,0.000207430952885498,fraction
1,future,60,WRFrain_PGW_V3_HPE01.mat,0.000328360528360528,fraction
1,historical,80,WRFrain_noPGW_HPE01.mat,8.94115985025076e-05,fraction
1,future,80,WRFrain_PGW_V3_HPE01.mat,0.00015798544889454,fraction
1,historical,100,WRFrain_noPGW_HPE01.mat,4.02557038920675e-05,fraction
1,future,100,WRFrain_PGW_V3_HPE01.mat,7.92964611146429e-05,fraction
1,historical,120,WRFrain_noPGW_HPE01.mat,1.81041181041181e-05,fraction
1,future,120,WRFrain_PGW_V3_HPE01.mat,3.96199759836123e-05,fraction
1,historical,150,WRFrain_noPGW_HPE01.mat,5.09288691106873e-06,fraction
1,future,150,WRFrain_PGW_V3_HPE01.mat,1.3279649643286e-05,fraction
2,historical,0.1,WRFrain_noPGW_HPE02.mat,0.176745119175949,fraction
2,future,0.1,WRFrain_PGW_V3_HPE02.mat,0.143028334730706,fraction
2,historical,1,WRFrain_noPGW_HPE02.mat,0.0704204295923663,fraction
2,future,1,WRFrain_PGW_V3_HPE02.mat,0.0590619155986745,fraction
2,historical,2,WRFrain_noPGW_HPE02.mat,0.038079366790434,fraction
2,future,2,WRFrain_PGW_V3_HPE02.mat,0.0346884457220426,fraction
2,historical,5,WRFrain_noPGW_HPE02.mat,0.00840546173194394,fraction
2,future,5,WRFrain_PGW_V3_HPE02.mat,0.0104420449554837,fraction
2,historical,7.5,WRFrain_noPGW_HPE02.mat,0.00298311574240428,fraction
2,future,7.5,WRFrain_PGW_V3_HPE02.mat,0.00464276360442368,fraction
2,historical,10,WRFrain_noPGW_HPE02.mat,0.00135381083562902,fraction
2,future,10,WRFrain_PGW_V3_HPE02.mat,0.00241926378408592,fraction
2,historical,20,WRFrain_noPGW_HPE02.mat,0.000183055854992614,fraction
2,future,20,WRFrain_PGW_V3_HPE02.mat,0.000420585299636683,fraction
2,historical,50,WRFrain_noPGW_HPE02.mat,2.00822453786881e-06,fraction
2,future,50,WRFrain_PGW_V3_HPE02.mat,9.29053379646265e-06,fraction
2,historical,60,WRFrain_noPGW_HPE02.mat,3.59324469996407e-07,fraction
2,future,60,WRFrain_PGW_V3_HPE02.mat,3.23791272407873e-06,fraction
2,historical,80,WRFrain_noPGW_HPE02.mat,1.99624705553559e-08,fraction
2,future,80,WRFrain_PGW_V3_HPE02.mat,5.94881622549607e-07,fraction
2,historical,100,WRFrain_noPGW_HPE02.mat,0,fraction
2,future,100,WRFrain_PGW_V3_HPE02.mat,1.59699764442847e-07,fraction
2,historical,120,WRFrain_noPGW_HPE02.mat,0,fraction
2,future,120,WRFrain_PGW_V3_HPE02.mat,3.19399528885695e-08,fraction
2,historical,150,WRFrain_noPGW_HPE02.mat,0,fraction
2,future,150,WRFrain_PGW_V3_HPE02.mat,0,fraction
3,historical,0.1,WRFrain_noPGW_HPE03.mat,0.0754432436250618,fraction
3,future,0.1,WRFrain_PGW_V3_HPE03.mat,0.0509063007699371,fraction
3,historical,1,WRFrain_noPGW_HPE03.mat,0.036056290174472,fraction
3,future,1,WRFrain_PGW_V3_HPE03.mat,0.0238419156600975,fraction
3,historical,2,WRFrain_noPGW_HPE03.mat,0.024716896235078,fraction
3,future,2,WRFrain_PGW_V3_HPE03.mat,0.0164881542699724,fraction
3,historical,5,WRFrain_noPGW_HPE03.mat,0.0107378611287702,fraction
3,future,5,WRFrain_PGW_V3_HPE03.mat,0.00790342586706223,fraction
3,historical,7.5,WRFrain_noPGW_HPE03.mat,0.00595584516493608,fraction
3,future,7.5,WRFrain_PGW_V3_HPE03.mat,0.00495240517058699,fraction
3,historical,10,WRFrain_noPGW_HPE03.mat,0.00362543617998163,fraction
3,future,10,WRFrain_PGW_V3_HPE03.mat,0.00335525888253161,fraction
3,historical,20,WRFrain_noPGW_HPE03.mat,0.000976414494596313,fraction
3,future,20,WRFrain_PGW_V3_HPE03.mat,0.000989729462456735,fraction
3,historical,50,WRFrain_noPGW_HPE03.mat,7.70996680087589e-05,fraction
3,future,50,WRFrain_PGW_V3_HPE03.mat,6.78180405453133e-05,fraction
3,historical,60,WRFrain_noPGW_HPE03.mat,3.56290174471993e-05,fraction
3,future,60,WRFrain_PGW_V3_HPE03.mat,3.28106237197146e-05,fraction
3,historical,80,WRFrain_noPGW_HPE03.mat,6.78816133361588e-06,fraction
3,future,80,WRFrain_PGW_V3_HPE03.mat,8.67415412869959e-06,fraction
3,historical,100,WRFrain_noPGW_HPE03.mat,9.46528219255492e-07,fraction
3,future,100,WRFrain_PGW_V3_HPE03.mat,2.1332203150385e-06,fraction
3,historical,120,WRFrain_noPGW_HPE03.mat,1.13018294836477e-07,fraction
3,future,120,WRFrain_PGW_V3_HPE03.mat,3.81436745073109e-07,fraction
3,historical,150,WRFrain_noPGW_HPE03.mat,0,fraction
3,future,150,WRFrain_PGW_V3_HPE03.mat,2.11909302818394e-08,fraction
4,historical,0.1,WRFrain_noPGW_HPE04.mat,0.152072952667168,fraction
4,future,0.1,WRFrain_PGW_V3_HPE04.mat,0.108605428833792,fraction
4,historical,1,WRFrain_noPGW_HPE04.mat,0.0736492361632857,fraction
4,future,1,WRFrain_PGW_V3_HPE04.mat,0.0533763085399449,fraction
4,historical,2,WRFrain_noPGW_HPE04.mat,0.0473991693797479,fraction
4,future,2,WRFrain_PGW_V3_HPE04.mat,0.0356964150596878,fraction
4,historical,5,WRFrain_noPGW_HPE04.mat,0.0164510685366057,fraction
4,future,5,WRFrain_PGW_V3_HPE04.mat,0.0148593608815427,fraction
4,historical,7.5,WRFrain_noPGW_HPE04.mat,0.00776554804240755,fraction
4,future,7.5,WRFrain_PGW_V3_HPE04.mat,0.00843564003673095,fraction
4,historical,10,WRFrain_noPGW_HPE04.mat,0.00428266967192587,fraction
4,future,10,WRFrain_PGW_V3_HPE04.mat,0.00535920293847567,fraction
4,historical,20,WRFrain_noPGW_HPE04.mat,0.000834397695967944,fraction
4,future,20,WRFrain_PGW_V3_HPE04.mat,0.00144094398530762,fraction
4,historical,50,WRFrain_noPGW_HPE04.mat,2.64504549628517e-05,fraction
4,future,50,WRFrain_PGW_V3_HPE04.mat,8.62516069788797e-05,fraction
4,historical,60,WRFrain_noPGW_HPE04.mat,9.39978295350196e-06,fraction
4,future,60,WRFrain_PGW_V3_HPE04.mat,3.67566574839302e-05,fraction
4,historical,80,WRFrain_noPGW_HPE04.mat,1.05184072126221e-06,fraction
4,future,80,WRFrain_PGW_V3_HPE04.mat,6.93480257116621e-06,fraction
4,historical,100,WRFrain_noPGW_HPE04.mat,8.34794223223975e-08,fraction
4,future,100,WRFrain_PGW_V3_HPE04.mat,1.37006427915519e-06,fraction
4,historical,120,WRFrain_noPGW_HPE04.mat,4.17397111611988e-09,fraction
4,future,120,WRFrain_PGW_V3_HPE04.mat,2.35078053259871e-07,fraction
4,historical,150,WRFrain_noPGW_HPE04.mat,0,fraction
4,future,150,WRFrain_PGW_V3_HPE04.mat,1.83654729109275e-08,fraction
5,historical,0.1,WRFrain_noPGW_HPE05.mat,0.0130970615243343,fraction
5,future,0.1,WRFrain_PGW_V3_HPE05.mat,0.00537200413223141,fraction
5,historical,1,WRFrain_noPGW_HPE05.mat,0.00408976124885216,fraction
5,future,1,WRFrain_PGW_V3_HPE05.mat,0.00173271349862259,fraction
5,historical,2,WRFrain_noPGW_HPE05.mat,0.00207100550964187,fraction
5,future,2,WRFrain_PGW_V3_HPE05.mat,0.000941173094582185,fraction
5,historical,5,WRFrain_noPGW_HPE05.mat,0.000423393021120294,fraction
5,future,5,WRFrain_PGW_V3_HPE05.mat,0.000287809917355372,fraction
5,historical,7.5,WRFrain_noPGW_HPE05.mat,0.000157323232323232,fraction
5,future,7.5,WRFrain_PGW_V3_HPE05.mat,0.000144283746556474,fraction
5,historical,10,WRFrain_noPGW_HPE05.mat,8.26675849403122e-05,fraction
5,future,10,WRFrain_PGW_V3_HPE05.mat,8.08654729109275e-05,fraction
5,historical,20,WRFrain_noPGW_HPE05.mat,1.41069788797062e-05,fraction
5,future,20,WRFrain_PGW_V3_HPE05.mat,1.29820936639118e-05,fraction
5,historical,50,WRFrain_noPGW_HPE05.mat,5.28007346189164e-07,fraction
5,future,50,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,60,WRFrain_noPGW_HPE05.mat,1.60697887970615e-07,fraction
5,future,60,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,80,WRFrain_noPGW_HPE05.mat,0,fraction
5,future,80,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,100,WRFrain_noPGW_HPE05.mat,0,fraction
5,future,100,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,120,WRFrain_noPGW_HPE05.mat,0,fraction
5,future,120,WRFrain_PGW_V3_HPE05.mat,0,fraction
5,historical,150,WRFrain_noPGW_HPE05.mat,0,fraction
5,future,150,WRFrain_PGW_V3_HPE05.mat,0,fraction
6,historical,0.1,WRFrain_noPGW_HPE06.mat,0.031408145627397,fraction
6,future,0.1,WRFrain_PGW_V3_HPE06.mat,0.0125129476584022,fraction
6,historical,1,WRFrain_noPGW_HPE06.mat,0.0106158915356776,fraction
6,future,1,WRFrain_PGW_V3_HPE06.mat,0.00280041832466075,fraction
6,historical,2,WRFrain_noPGW_HPE06.mat,0.00622373467293253,fraction
6,future,2,WRFrain_PGW_V3_HPE06.mat,0.0013161412100806,fraction
6,historical,5,WRFrain_noPGW_HPE06.mat,0.00220535839680225,fraction
6,future,5,WRFrain_PGW_V3_HPE06.mat,0.000324119987756351,fraction
6,historical,7.5,WRFrain_noPGW_HPE06.mat,0.00116723383568303,fraction
6,future,7.5,WRFrain_PGW_V3_HPE06.mat,0.000138536883991429,fraction
6,historical,10,WRFrain_noPGW_HPE06.mat,0.00071626424674553,fraction
6,future,10,WRFrain_PGW_V3_HPE06.mat,6.8441995714723e-05,fraction
6,historical,20,WRFrain_noPGW_HPE06.mat,0.000173402473937233,fraction
6,future,20,WRFrain_PGW_V3_HPE06.mat,7.65228037955311e-06,fraction
6,historical,50,WRFrain_noPGW_HPE06.mat,6.10381893804354e-06,fraction
6,future,50,WRFrain_PGW_V3_HPE06.mat,5.1015202530354e-08,fraction
6,historical,60,WRFrain_noPGW_HPE06.mat,2.05261167828013e-06,fraction
6,future,60,WRFrain_PGW_V3_HPE06.mat,0,fraction
6,historical,80,WRFrain_noPGW_HPE06.mat,1.1883541295306e-07,fraction
6,future,80,WRFrain_PGW_V3_HPE06.mat,0,fraction
6,historical,100,WRFrain_noPGW_HPE06.mat,3.24096580781073e-08,fraction
6,future,100,WRFrain_PGW_V3_HPE06.mat,0,fraction
6,historical,120,WRFrain_noPGW_HPE06.mat,0,fraction
6,future,120,WRFrain_PGW_V3_HPE06.mat,0,fraction
6,historical,150,WRFrain_noPGW_HPE06.mat,0,fraction
6,future,150,WRFrain_PGW_V3_HPE06.mat,0,fraction
7,historical,0.1,WRFrain_noPGW_HPE07.mat,0.0609040615949707,fraction
7,future,0.1,WRFrain_PGW_V3_HPE07.mat,0.0457009182736455,fraction
7,historical,1,WRFrain_noPGW_HPE07.mat,0.0234852793670975,fraction
7,future,1,WRFrain_PGW_V3_HPE07.mat,0.0201112594476231,fraction
7,historical,2,WRFrain_noPGW_HPE07.mat,0.0143526170798898,fraction
7,future,2,WRFrain_PGW_V3_HPE07.mat,0.0130124037578583,fraction
7,historical,5,WRFrain_noPGW_HPE07.mat,0.00541691036236491,fraction
7,future,5,WRFrain_PGW_V3_HPE07.mat,0.00560711308893127,fraction
7,historical,7.5,WRFrain_noPGW_HPE07.mat,0.00290014833651197,fraction
7,future,7.5,WRFrain_PGW_V3_HPE07.mat,0.00348012997103906,fraction
7,historical,10,WRFrain_noPGW_HPE07.mat,0.00177764356855266,fraction
7,future,10,WRFrain_PGW_V3_HPE07.mat,0.00239158013703468,fraction
7,historical,20,WRFrain_noPGW_HPE07.mat,0.000420922511831603,fraction
7,future,20,WRFrain_PGW_V3_HPE07.mat,0.000789658826022462,fraction
7,historical,50,WRFrain_noPGW_HPE07.mat,1.02422829695557e-05,fraction
7,future,50,WRFrain_PGW_V3_HPE07.mat,6.53104471286289e-05,fraction
7,historical,60,WRFrain_noPGW_HPE07.mat,3.20689411598503e-06,fraction
7,future,60,WRFrain_PGW_V3_HPE07.mat,2.9285865649502e-05,fraction
7,historical,80,WRFrain_noPGW_HPE07.mat,2.18972946245674e-07,fraction
7,future,80,WRFrain_PGW_V3_HPE07.mat,5.53083280356008e-06,fraction
7,historical,100,WRFrain_noPGW_HPE07.mat,0,fraction
7,future,100,WRFrain_PGW_V3_HPE07.mat,9.25337288973653e-07,fraction
7,historical,120,WRFrain_noPGW_HPE07.mat,0,fraction
7,future,120,WRFrain_PGW_V3_HPE07.mat,1.34209225118316e-07,fraction
7,historical,150,WRFrain_noPGW_HPE07.mat,0,fraction
7,future,150,WRFrain_PGW_V3_HPE07.mat,0,fraction
8,historical,0.1,WRFrain_noPGW_HPE08.mat,0.0825703948576676,fraction
8,future,0.1,WRFrain_PGW_V3_HPE08.mat,0.0400182442607897,fraction
8,historical,1,WRFrain_noPGW_HPE08.mat,0.03372,fraction
8,future,1,WRFrain_PGW_V3_HPE08.mat,0.0156580348943985,fraction
8,historical,2,WRFrain_noPGW_HPE08.mat,0.0214758347107438,fraction
8,future,2,WRFrain_PGW_V3_HPE08.mat,0.0100149201101928,fraction
8,historical,5,WRFrain_noPGW_HPE08.mat,0.00937536822773186,fraction
8,future,5,WRFrain_PGW_V3_HPE08.mat,0.00443520293847567,fraction
8,historical,7.5,WRFrain_noPGW_HPE08.mat,0.00585963269054178,fraction
8,future,7.5,WRFrain_PGW_V3_HPE08.mat,0.00284028650137741,fraction
8,historical,10,WRFrain_noPGW_HPE08.mat,0.00407191919191919,fraction
8,future,10,WRFrain_PGW_V3_HPE08.mat,0.0020083085399449,fraction
8,historical,20,WRFrain_noPGW_HPE08.mat,0.00146970064279155,fraction
8,future,20,WRFrain_PGW_V3_HPE08.mat,0.00074595041322314,fraction
8,historical,50,WRFrain_noPGW_HPE08.mat,0.000186108356290175,fraction
8,future,50,WRFrain_PGW_V3_HPE08.mat,0.000106163452708907,fraction
8,historical,60,WRFrain_noPGW_HPE08.mat,0.000104029384756657,fraction
8,future,60,WRFrain_PGW_V3_HPE08.mat,6.18292011019284e-05,fraction
8,historical,80,WRFrain_noPGW_HPE08.mat,3.3307621671258e-05,fraction
8,future,80,WRFrain_PGW_V3_HPE08.mat,2.20716253443526e-05,fraction
8,historical,100,WRFrain_noPGW_HPE08.mat,1.05858585858586e-05,fraction
8,future,100,WRFrain_PGW_V3_HPE08.mat,8.56932966023875e-06,fraction
8,historical,120,WRFrain_noPGW_HPE08.mat,3.58494031221304e-06,fraction
8,future,120,WRFrain_PGW_V3_HPE08.mat,3.68778696051423e-06,fraction
8,historical,150,WRFrain_noPGW_HPE08.mat,7.52984389348026e-07,fraction
8,future,150,WRFrain_PGW_V3_HPE08.mat,9.51331496786042e-07,fraction
9,historical,0.1,WRFrain_noPGW_HPE09.mat,0.0871682493383028,fraction
9,future,0.1,WRFrain_PGW_V3_HPE09.mat,0.0508013612056393,fraction
9,historical,1,WRFrain_noPGW_HPE09.mat,0.0364125587425053,fraction
9,future,1,WRFrain_PGW_V3_HPE09.mat,0.0227039377734565,fraction
9,historical,2,WRFrain_noPGW_HPE09.mat,0.0226795495057527,fraction
9,future,2,WRFrain_PGW_V3_HPE09.mat,0.0152998379517096,fraction
9,historical,5,WRFrain_noPGW_HPE09.mat,0.00892758061902447,fraction
9,future,5,WRFrain_PGW_V3_HPE09.mat,0.00742527413169125,fraction
9,historical,7.5,WRFrain_noPGW_HPE09.mat,0.0053893912385891,fraction
9,future,7.5,WRFrain_PGW_V3_HPE09.mat,0.00499940582293523,fraction
9,historical,10,WRFrain_noPGW_HPE09.mat,0.0036575919624048,fraction
9,future,10,WRFrain_PGW_V3_HPE09.mat,0.00366510560146924,fraction
9,historical,20,WRFrain_noPGW_HPE09.mat,0.00117983579106574,fraction
9,future,20,WRFrain_PGW_V3_HPE09.mat,0.00146285313023281,fraction
9,historical,50,WRFrain_noPGW_HPE09.mat,9.69210824825798e-05,fraction
9,future,50,WRFrain_PGW_V3_HPE09.mat,0.000196483552098525,fraction
9,historical,60,WRFrain_noPGW_HPE09.mat,4.57732404256468e-05,fraction
9,future,60,WRFrain_PGW_V3_HPE09.mat,0.00010821044671312,fraction
9,historical,80,WRFrain_noPGW_HPE09.mat,1.0479122778588e-05,fraction
9,future,80,WRFrain_PGW_V3_HPE09.mat,3.41705828336845e-05,fraction
9,historical,100,WRFrain_noPGW_HPE09.mat,2.46313401393615e-06,fraction
9,future,100,WRFrain_PGW_V3_HPE09.mat,1.05547453141036e-05,fraction
9,historical,120,WRFrain_noPGW_HPE09.mat,6.04980284124669e-07,fraction
9,future,120,WRFrain_PGW_V3_HPE09.mat,3.43542375627937e-06,fraction
9,historical,150,WRFrain_noPGW_HPE09.mat,8.64257548749527e-08,fraction
9,future,150,WRFrain_PGW_V3_HPE09.mat,5.3475935828877e-07,fraction
10,historical,0.1,WRFrain_noPGW_HPE10.mat,0.102870218716086,fraction
10,future,0.1,WRFrain_PGW_V3_HPE10.mat,0.0798240712914267,fraction
10,historical,1,WRFrain_noPGW_HPE10.mat,0.0435690708740296,fraction
10,future,1,WRFrain_PGW_V3_HPE10.mat,0.0348907337841222,fraction
10,historical,2,WRFrain_noPGW_HPE10.mat,0.0265402704733283,fraction
10,future,2,WRFrain_PGW_V3_HPE10.mat,0.0225559061691293,fraction
10,historical,5,WRFrain_noPGW_HPE10.mat,0.00839177310293013,fraction
10,future,5,WRFrain_PGW_V3_HPE10.mat,0.00875361048501545,fraction
10,historical,7.5,WRFrain_noPGW_HPE10.mat,0.00371126554804241,fraction
10,future,7.5,WRFrain_PGW_V3_HPE10.mat,0.00466308957342015,fraction
10,historical,10,WRFrain_noPGW_HPE10.mat,0.00191909174388513,fraction
10,future,10,WRFrain_PGW_V3_HPE10.mat,0.00277728942315719,fraction
10,historical,20,WRFrain_noPGW_HPE10.mat,0.000334502045245847,fraction
10,future,20,WRFrain_PGW_V3_HPE10.mat,0.000649261207112447,fraction
10,historical,50,WRFrain_noPGW_HPE10.mat,7.98898071625344e-06,fraction
10,future,50,WRFrain_PGW_V3_HPE10.mat,3.08915602304032e-05,fraction
10,historical,60,WRFrain_noPGW_HPE10.mat,2.55864429418148e-06,fraction
10,future,60,WRFrain_PGW_V3_HPE10.mat,1.22088655146506e-05,fraction
10,historical,80,WRFrain_noPGW_HPE10.mat,2.08698555805994e-07,fraction
10,future,80,WRFrain_PGW_V3_HPE10.mat,2.06194173136322e-06,fraction
10,historical,100,WRFrain_noPGW_HPE10.mat,4.17397111611988e-09,fraction
10,future,100,WRFrain_PGW_V3_HPE10.mat,4.25745053844227e-07,fraction
10,historical,120,WRFrain_noPGW_HPE10.mat,0,fraction
10,future,120,WRFrain_PGW_V3_HPE10.mat,5.00876533934385e-08,fraction
10,historical,150,WRFrain_noPGW_HPE10.mat,0,fraction
10,future,150,WRFrain_PGW_V3_HPE10.mat,0,fraction
11,historical,0.1,WRFrain_noPGW_HPE11.mat,0.0447615671870217,fraction
11,future,0.1,WRFrain_PGW_V3_HPE11.mat,0.0169510009182736,fraction
11,historical,1,WRFrain_noPGW_HPE11.mat,0.0160794000612182,fraction
11,future,1,WRFrain_PGW_V3_HPE11.mat,0.00599701867156413,fraction
11,historical,2,WRFrain_noPGW_HPE11.mat,0.00960967248239976,fraction
11,future,2,WRFrain_PGW_V3_HPE11.mat,0.00380768288950107,fraction
11,historical,5,WRFrain_noPGW_HPE11.mat,0.00367063973063973,fraction
11,future,5,WRFrain_PGW_V3_HPE11.mat,0.0017262136516682,fraction
11,historical,7.5,WRFrain_noPGW_HPE11.mat,0.00216446280991736,fraction
11,future,7.5,WRFrain_PGW_V3_HPE11.mat,0.00111044995408632,fraction
11,historical,10,WRFrain_noPGW_HPE11.mat,0.00144566268748087,fraction
11,future,10,WRFrain_PGW_V3_HPE11.mat,0.000779638812366085,fraction
11,historical,20,WRFrain_noPGW_HPE11.mat,0.000415555555555556,fraction
11,future,20,WRFrain_PGW_V3_HPE11.mat,0.000261744719926538,fraction
11,historical,50,WRFrain_noPGW_HPE11.mat,2.00673400673401e-05,fraction
11,future,50,WRFrain_PGW_V3_HPE11.mat,2.03673094582186e-05,fraction
11,historical,60,WRFrain_noPGW_HPE11.mat,7.34006734006734e-06,fraction
11,future,60,WRFrain_PGW_V3_HPE11.mat,8.93174165901438e-06,fraction
11,historical,80,WRFrain_noPGW_HPE11.mat,8.63177226813591e-07,fraction
11,future,80,WRFrain_PGW_V3_HPE11.mat,1.5855524946434e-06,fraction
11,historical,100,WRFrain_noPGW_HPE11.mat,6.73400673400673e-08,fraction
11,future,100,WRFrain_PGW_V3_HPE11.mat,1.2243648607285e-07,fraction
11,historical,120,WRFrain_noPGW_HPE11.mat,6.12182430364249e-09,fraction
11,future,120,WRFrain_PGW_V3_HPE11.mat,0,fraction
11,historical,150,WRFrain_noPGW_HPE11.mat,0,fraction
11,future,150,WRFrain_PGW_V3_HPE11.mat,0,fraction
12,historical,0.1,WRFrain_noPGW_HPE12.mat,0.146997861734225,fraction
12,future,0.1,WRFrain_PGW_V3_HPE12.mat,0.0909913813459268,fraction
12,historical,1,WRFrain_noPGW_HPE12.mat,0.0559762385762386,fraction
12,future,1,WRFrain_PGW_V3_HPE12.mat,0.0357870654597927,fraction
12,historical,2,WRFrain_noPGW_HPE12.mat,0.0315905330359876,fraction
12,future,2,WRFrain_PGW_V3_HPE12.mat,0.0215836765927675,fraction
12,historical,5,WRFrain_noPGW_HPE12.mat,0.00908701735974463,fraction
12,future,5,WRFrain_PGW_V3_HPE12.mat,0.00778842975206612,fraction
12,historical,7.5,WRFrain_noPGW_HPE12.mat,0.00413355634264725,fraction
12,future,7.5,WRFrain_PGW_V3_HPE12.mat,0.0042391403209585,fraction
12,historical,10,WRFrain_noPGW_HPE12.mat,0.00222871135598408,fraction
12,future,10,WRFrain_PGW_V3_HPE12.mat,0.00261219992129083,fraction
12,historical,20,WRFrain_noPGW_HPE12.mat,0.000377008177008177,fraction
12,future,20,WRFrain_PGW_V3_HPE12.mat,0.000606156806156806,fraction
12,historical,50,WRFrain_noPGW_HPE12.mat,8.44811753902663e-06,fraction
12,future,50,WRFrain_PGW_V3_HPE12.mat,2.36652236652237e-05,fraction
12,historical,60,WRFrain_noPGW_HPE12.mat,2.68922996195723e-06,fraction
12,future,60,WRFrain_PGW_V3_HPE12.mat,8.91599982509073e-06,fraction
12,historical,80,WRFrain_noPGW_HPE12.mat,2.66736630372994e-07,fraction
