event_id,measure_type,duration_min,block_size,is_full_domain,hist_file,pgw_file,hist_value,pgw_value,diff,ratio,units
1,total,0,Raanana Basin,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,29.474747392686,33.1707352325785,3.69598783989247,1.12539506414259,mm
1,total,0,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,34.5026550199836,40.4328002974144,5.93014527743071,1.17187504190608,mm
1,total,0,Raanana Basin 2 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,33.989272110593,42.6764383184491,8.68716620785608,1.25558553238769,mm
1,total,0,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,33.5498534281089,44.2511998992801,10.7013464711712,1.31896850143033,mm
1,intensity,10,Raanana Basin,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,13.719894087053,40.6109275526388,26.8910334655857,2.96000299236726,mm_per_hr
1,intensity,10,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,28.3984222412109,75.8580322265625,47.4596099853516,2.67120587130646,mm_per_hr
1,intensity,10,Raanana Basin 2 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,27.071706533432,67.6776609420776,40.6059544086456,2.49994069854812,mm_per_hr
1,intensity,10,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,24.7659600575765,62.5314286549886,37.7654685974121,2.52489418983209,mm_per_hr
1,intensity,20,Raanana Basin,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,9.34793159225518,20.7354766466775,11.3875450544223,2.21818874496867,mm_per_hr
1,intensity,20,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,16.3575782775879,39.2289447784424,22.8713665008545,2.39821226056374,mm_per_hr
1,intensity,20,Raanana Basin 2 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,18.1716853380203,37.3569102287292,19.1852248907089,2.05577575958615,mm_per_hr
1,intensity,20,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,18.7717555363973,33.635381380717,14.8636258443197,1.79180798063878,mm_per_hr
1,intensity,30,Raanana Basin,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,7.15377786989122,14.0806781535612,6.92690028366998,1.9682856260919,mm_per_hr
1,intensity,30,Raanana Basin 1 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,12.1576538085938,26.1798820495605,14.0222282409668,2.15336630420049,mm_per_hr
1,intensity,30,Raanana Basin 2 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,12.6470348834991,24.9194269180298,12.2723920345306,1.970377020984,mm_per_hr
1,intensity,30,Raanana Basin 3 pixel,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,12.918032752143,22.4323143429226,9.51428159077962,1.73651164796755,mm_per_hr
1,intensity,60,Raanana Basin,0,WRFrain_noPGW_HPE01.mat,WRFrain_PGW_V3_HPE01.mat,4.20228747065912,7.91289206554523,3.71060459488612,1.8829963729978,mm_per_hr
