Date,Obs peak,P1,P2,P3,P4,Sim min,Sim max,Band / obs [%]
13/01/2012,36.09,32.37,33.68,32.15,27.92,27.92,33.68,16.0
06/01/2013,36.28,46.68,48.55,49.96,40.33,40.33,49.96,26.5
14/12/2014,8.65,2.22,2.33,1.82,1.56,1.56,2.33,8.8
07/10/2015,13.85,8.79,9.21,11.94,6.7,6.7,11.94,37.9
27/10/2015,24.54,14.43,15.03,18.38,10.67,10.67,18.38,31.4
28/10/2015,41.48,48.42,49.56,48.94,44.55,44.55,49.56,12.1
14/12/2015,16.22,13.68,14.3,16.1,10.16,10.16,16.1,36.6
08/01/2016,33.29,35.75,36.88,35.2,30.32,30.32,36.88,19.7
13/12/2016,13.11,14.07,14.71,14.28,10.9,10.9,14.71,29.1
19/12/2016,28.84,27.36,28.43,27.73,21.13,21.13,28.43,25.3
27/12/2016,12.32,9.6,10.06,8.99,7.09,7.09,10.06,24.1
21/11/2017,7.67,9.51,9.9,13.43,7.09,7.09,13.43,82.7
24/12/2017,6.41,14.37,15.0,15.57,11.21,11.21,15.57,68.0
01/01/2018,9.23,6.01,6.32,8.62,4.34,4.34,8.62,46.4
05/01/2018,21.76,23.34,24.41,19.99,17.77,17.77,24.41,30.5
14/01/2018,9.79,7.69,7.98,9.36,5.87,5.87,9.36,35.7
23/01/2018,7.32,9.03,9.45,10.45,6.25,6.25,10.45,57.4
25/01/2018,18.58,21.44,22.31,19.08,17.12,17.12,22.31,27.9
13/02/2018,12.96,11.1,11.6,8.77,7.97,7.97,11.6,28.0
07/12/2018,22.96,33.12,35.29,33.42,25.98,25.98,35.29,40.5
13/12/2019,26.74,23.52,24.57,19.76,17.89,17.89,24.57,25.0
27/12/2019,28.1,22.09,22.37,22.06,18.35,18.35,22.37,14.3
19/01/2020,32.14,22.65,23.03,22.22,21.06,21.06,23.03,6.1
