Date,Obs peak [CMS],Ens peak min,Ens peak max,Ens peak mean,Peak spread [%],Obs vol (x1000),Ens vol min,Ens vol max,Vol spread [%]
2012_01_13,36.09,27.92,33.68,31.53,16.0,0.6,0.5,0.8,51.2
2013_01_06,36.28,40.33,49.96,46.38,26.5,0.8,1.0,1.4,49.1
2014_12_14,8.65,1.56,2.33,1.98,8.8,0.1,0.0,0.0,10.9
2015_10_07,13.85,6.7,11.94,9.16,37.9,0.1,0.1,0.1,40.8
2015_10_27,24.54,10.67,18.38,14.63,31.4,0.1,0.1,0.1,29.4
2015_10_28,41.48,44.55,49.56,47.86,12.1,1.0,0.7,1.0,25.9
2015_12_14,16.22,10.16,16.1,13.56,36.6,0.1,0.1,0.1,45.0
2016_01_08,33.29,30.32,36.88,34.54,19.7,0.3,0.2,0.3,17.2
2016_12_13,13.11,10.9,14.71,13.49,29.1,0.2,0.2,0.3,33.9
2016_12_19,28.84,21.13,28.43,26.16,25.3,0.4,0.2,0.2,13.5
2016_12_27,12.32,7.09,10.06,8.94,24.1,0.6,0.4,0.5,22.8
2017_11_21,7.67,7.09,13.43,9.99,82.7,0.0,0.1,0.1,118.9
2017_12_24,6.41,11.21,15.57,14.04,68.0,0.1,0.1,0.2,92.0
2018_01_01,9.23,4.34,8.62,6.32,46.4,0.1,0.0,0.1,55.8
2018_01_05,21.76,17.77,24.41,21.38,30.5,0.4,0.4,0.6,46.7
2018_01_14,9.79,5.87,9.36,7.72,35.7,0.1,0.1,0.1,61.2
2018_01_23,7.32,6.25,10.45,8.8,57.4,0.1,0.1,0.1,77.8
2018_01_25,18.58,17.12,22.31,19.99,27.9,0.2,0.4,0.5,53.4
2018_02_13,12.96,7.97,11.6,9.86,28.0,0.2,0.2,0.2,29.6
2018_12_07,22.96,25.98,35.29,31.95,40.5,0.7,1.0,1.4,59.8
2019_12_13,26.74,17.89,24.57,21.44,25.0,0.2,0.2,0.3,39.1
2019_12_27,28.1,18.35,22.37,21.22,14.3,0.2,0.2,0.2,32.8
2020_01_19,32.14,21.06,23.03,22.24,6.1,0.5,0.7,1.0,72.4
