event_num,x,y,d,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future
,,,,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28
,,,,total_discharge,max_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,total_discharge,max_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient
01,0,-20000,20000.0,208737.11555178795,16.087778091430664,0.4361822011053698,1.26,7107.9,0.629,0.03,118.44,0.019,1.79,15981.799999999997,0.586,0.03,118.44,0.019,310147.29573957005,53.933067321777344,0.4789199161011837,6.13,12873.1,0.815,0.09,236.88,0.028,7.04,29200.2,0.774,0.09,236.88,0.028
01,0,-19500,19500.0,212699.95282587665,14.047778129577637,0.4403694852227401,1.27,7154.300000000001,0.63,0.36,5118.19,0.075,1.79,16654.199999999997,0.594,0.04,127.84000000000002,0.02,312029.17666882486,54.713958740234375,0.4827114290313531,6.28,12945.6,0.817,0.11,246.28,0.028,7.55,29479.000000000004,0.78,0.11,246.28,0.028
01,0,-19000,19000.0,213589.0530272292,11.72631549835205,0.44418385037404745,0.81,4627.02,0.618,0.32,4781.7,0.072,1.72,17170.8,0.6,0.04,131.6,0.02,313490.2032902321,57.840232849121094,0.49324973046690246,7.5,11930.6,0.802,0.11,251.92000000000002,0.029,7.75,30061.199999999997,0.787,0.11,251.92000000000002,0.029
01,0,-18500,18500.0,210605.36951366457,10.966022491455078,0.44319296393569996,0.82,4862.19,0.629,0.03,142.88,0.021,1.62,17548.0,0.605,0.03,142.88,0.021,311070.80927768647,59.68827438354492,0.5016540998145941,7.59,11855.2,0.801,0.15,268.84,0.03,7.79,30618.800000000003,0.793,0.15,268.84,0.03
01,0,-18000,18000.0,202839.5325342502,10.248250007629395,0.43967049685266274,1.43,9783.84,0.621,0.23,3736.81,0.064,1.5,17728.4,0.607,0.03,146.64,0.022,302247.8473430176,63.41084671020508,0.5052567678099915,4.26,7050.480000000001,0.799,0.16,272.6,0.03,7.51,31734.000000000004,0.797,0.16,272.6,0.03
01,0,-17500,17500.0,191982.379706633,9.451530456542969,0.4319520969127502,0.58,5037.06,0.636,0.22,3063.83,0.057,1.36,17744.8,0.607,0.03,150.4,0.022,290652.14934985247,65.50394439697266,0.5060302929513383,5.28,8200.8,0.803,0.19,289.52,0.03,8.45,32726.199999999997,0.8,0.19,289.52,0.03
01,0,-17000,17000.0,176665.36686647977,8.451906204223633,0.41840367058244116,0.54,4942.59,0.631,0.16,2426.27,0.049,1.19,17384.0,0.602,0.03,152.28,0.022,270937.32677609794,66.40327453613281,0.4935612029170137,4.95,7569.659999999999,0.789,0.2,293.28,0.03,9.04,32513.0,0.798,0.2,293.28,0.03
01,0,-16500,16500.0,159795.01471518137,7.448005199432373,0.4007623324554824,0.44,4671.24,0.618,0.13,1788.71,0.04,1.03,16769.0,0.594,0.02,148.52,0.022,252672.4839197024,66.09934997558594,0.4811355900309354,4.21,6214.92,0.751,0.21,283.88,0.03,9.51,32283.399999999998,0.795,0.21,283.88,0.03
