,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future
,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28
,total_discharge,total_discharge,total_discharge,max_discharge,max_discharge,max_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,total_discharge,total_discharge,total_discharge,max_discharge,max_discharge,max_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient
,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median
"('event_num', '', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,222421.07573322562,74766.2465731605,142536.2906335948,19.208223342895508,3.4890856742858887,8.791622161865234,0.47606551564596405,0.2527510948683953,0.3937509947631645,2.05,0.21,0.64,15031.22,2040.15,4231.1,0.672,0.37,0.55,0.43,0.0,0.02,5118.19,35.72,103.40000000000002,0.075,0.009,0.018,2.51,0.4,1.03,20327.8,5945.0,13046.2,0.667,0.357,0.554,0.05,0.0,0.02,171.08,35.72,97.76,0.024,0.009,0.018,313490.2032902321,129887.7352297951,203580.94418814994,66.60760498046875,10.464733123779297,31.717647552490234,0.5455432682478557,0.38115243473135935,0.4784369536683684,9.59,0.67,2.09,26021.29,2933.28,6339.54,0.817,0.54,0.703,1.88,0.02,0.07,5525.52,71.44,146.64,0.103,0.016,0.025,12.0,1.36,3.15,32726.199999999997,10356.6,17662.8,0.8,0.531,0.687,0.24,0.02,0.07,293.28,71.44,146.64,0.03,0.016,0.024
02,2355686.5339798033,1019847.4390344025,1648168.6882683025,52.2508544921875,17.12921142578125,34.02911376953125,0.7451369536356558,0.6256693611597938,0.6985944768605443,6.29,0.65,2.36,150377.23,14912.8,42133.52,0.91,0.659,0.803,4.81,0.02,0.09,139182.89,688.08,2475.96,0.326,0.031,0.075,6.87,1.38,3.74,174971.6,79597.4,126280.0,0.907,0.806,0.875,0.62,0.02,0.09,8732.6,688.08,2475.96,0.199,0.031,0.075,1578766.965220728,935685.5781297772,1365743.6271421565,50.12654113769531,24.348791122436523,40.610557556152344,0.7053881481679856,0.6321339216959264,0.6757318460405912,4.45,0.93,2.41,74403.64,16424.8,37761.62,0.892,0.566,0.871,0.11,0.03,0.07,2588.76,633.56,956.92,0.079,0.031,0.034,6.53,2.07,4.57,126550.60000000002,71996.0,107846.40000000001,0.889,0.814,0.873,0.11,0.03,0.07,2588.76,633.56,956.92,0.079,0.031,0.034
03,622739.2632497171,303345.19091763103,427661.29178408155,68.56488037109375,32.281246185302734,46.7836799621582,0.6167663763958827,0.5029392170561173,0.5812111630718517,10.15,1.07,3.44,42853.2,5900.339999999999,13530.66,0.905,0.445,0.84,0.16,0.04,0.08,558.36,172.96,330.88,0.034,0.026,0.031,13.13,3.04,6.58,66649.6,21836.6,40048.8,0.913,0.744,0.849,0.16,0.04,0.08,558.36,172.96,330.88,0.034,0.026,0.031,372054.1264398449,109272.81143124701,174389.7836246897,68.73783874511719,11.92719841003418,31.657325744628906,0.5817991974466052,0.39597469965199394,0.4829197645727636,20.05,0.71,2.09,37949.65,1967.94,5109.8,0.872,0.527,0.7,2.04,0.02,0.07,3382.61,54.519999999999996,125.96000000000001,0.077,0.016,0.024,13.9,1.14,3.62,36768.8,9315.2,15063.4,0.858,0.579,0.702,0.22,0.02,0.06,312.08,54.519999999999996,114.68,0.032,0.016,0.023
04,2747120.9313838347,1704264.0796008403,2051020.4316967488,62.19693374633789,34.7744026184082,46.07609558105469,0.7601333770865941,0.6811424429306482,0.7041985528191653,11.69,1.5,2.75,190519.32,26245.8,46901.7,0.917,0.686,0.899,4.66,0.04,0.29,176427.02,1030.24,9499.64,0.356,0.033,0.182,9.19,3.05,5.45,197160.8,122942.6,164647.8,0.919,0.87,0.901,0.78,0.04,0.28,10746.08,1030.24,4173.6,0.222,0.033,0.103,2802392.751368461,1855352.1825439227,2601499.0913855145,61.9422492980957,36.76560974121094,49.96175003051758,0.7520303834196104,0.7045461329426498,0.7301288477884981,13.4,1.75,3.45,221631.53,31080.0,67020.44,0.941,0.698,0.921,6.03,0.23,0.46,210695.87,3959.2799999999997,13188.200000000003,0.402,0.109,0.259,11.05,3.28,6.92,223933.79999999996,140810.4,201867.6,0.933,0.889,0.925,0.73,0.23,0.43,14917.799999999997,3959.2799999999997,12246.32,0.279,0.109,0.247
05,2.2419131318947905,0.0,0.1628993283944169,3.495268538245e-05,0.0,4.2156998460995965e-06,0.015342040029175684,0.0,0.000876841116980987,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,4.032132675891376,0.027817395584861515,0.22816424043128336,6.90869492245838e-05,6.272435371101892e-07,4.2250881051586475e-06,0.006897469176552153,0.00012029376375528538,0.000537543709855153,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
06,1.993658624317618,0.0,0.048083692308864556,2.770047285594046e-05,0.0,4.217356035951525e-06,0.1902447482042428,0.0,0.0002920730895177884,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,410.5499256620533,0.007584602462884504,0.10311224600343394,0.04111972823739052,4.5015104888079804e-07,4.231438197166426e-06,0.06202237865387474,2.0473730360007504e-05,0.0005451679228697981,0.02,0.0,0.0,29.0,0.0,0.0,0.209,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.001,0.01,0.0,0.0,16.4,0.0,0.0,0.063,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.001
