,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future
,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28
,total_discharge,total_discharge,total_discharge,max_discharge,max_discharge,max_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,total_discharge,total_discharge,total_discharge,max_discharge,max_discharge,max_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient,max_discharge,max_discharge,max_discharge,total_discharge,total_discharge,total_discharge,runoff_coefficient,runoff_coefficient,runoff_coefficient
,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median,max,min,median
"('event_num', '', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,234630.33058253452,78298.68205592668,150541.8267186304,20.12140655517578,3.6309831142425537,9.475642204284668,0.5008044149395758,0.26469267247517625,0.41085911389966984,2.05,0.21,0.66,15031.22,851.2,4466.0,0.672,0.177,0.551,0.66,0.01,0.04,8483.09,58.28,171.08,0.123,0.015,0.03,2.51,0.4,1.03,20327.8,5945.0,13046.2,0.667,0.357,0.554,0.08,0.01,0.03,282.0,58.28,159.8,0.039,0.015,0.03,323879.4765109168,136408.1416572106,213500.36460394695,66.7548828125,10.791075706481934,32.39296340942383,0.5655015541220015,0.39454602580246323,0.49775536638691903,9.59,0.67,2.13,26021.29,2933.28,6272.7,0.817,0.54,0.703,3.39,0.03,0.12,9899.89,118.44,250.04,0.142,0.026,0.041,12.0,1.36,3.15,32726.199999999997,10356.6,17662.8,0.8,0.531,0.687,0.39,0.03,0.11,488.8,118.44,242.52,0.05,0.026,0.04
02,2441592.757757414,1075942.385048687,1731082.583845464,52.40187454223633,17.49535369873047,34.4896240234375,0.7723103066945822,0.6605948400425169,0.7324658914430501,6.29,0.8,2.75,150377.23,14912.8,66238.8,0.91,0.702,0.815,5.36,0.04,0.15,181757.73,1141.16,3675.4,0.425,0.051,0.11,6.87,1.38,3.74,174971.6,79597.4,126280.0,0.907,0.806,0.875,0.65,0.04,0.14,10022.28,1141.16,3573.8800000000006,0.229,0.051,0.108,1649290.1491325144,985687.2947191402,1433378.8077476074,50.1594352722168,25.647424697875977,40.76014709472656,0.7423257924248617,0.6667187703846825,0.7103955681633425,5.0,1.24,2.71,87848.17000000001,20077.4,53758.08,0.892,0.703,0.788,0.16,0.05,0.12,3673.52,1049.04,1596.12,0.112,0.052,0.056,6.53,2.07,4.57,126550.60000000002,71996.0,107846.40000000001,0.889,0.814,0.873,0.16,0.05,0.12,3673.52,1049.04,1596.12,0.112,0.052,0.056
03,639339.2455477677,319613.00243803486,442593.7611825284,68.8463134765625,32.846370697021484,46.8715705871582,0.6319610139849822,0.5171546941101446,0.6043843571506021,9.36,1.45,3.7,41767.3,7853.76,17663.9,0.892,0.554,0.799,0.27,0.07,0.14,932.48,287.64,550.84,0.057,0.043,0.052,13.13,3.04,6.58,66649.6,21836.6,40048.8,0.913,0.744,0.849,0.27,0.07,0.14,932.48,287.64,550.84,0.057,0.043,0.052,386866.4782913614,114512.63824444076,182265.79420112103,68.60771179199219,12.030926704406738,31.972455978393555,0.5982814125017413,0.4176837917971225,0.5048349392358747,20.05,0.71,2.23,37949.65,1967.94,5388.24,0.872,0.527,0.7,2.99,0.04,0.11,9262.33,88.36,206.80000000000004,0.153,0.025,0.04,13.9,1.14,3.62,36768.8,9315.2,15063.4,0.858,0.579,0.702,0.36,0.04,0.1,520.76,88.36,188.0,0.053,0.025,0.038
04,2829911.1028792,1788590.2591346763,2160302.5274465177,63.08155822753906,35.49293899536133,46.07644271850586,0.7830415686879916,0.7148450484236527,0.7374452703396918,9.51,1.65,3.3,190519.32,26245.8,79547.76,0.917,0.778,0.884,6.2,0.06,0.34,170423.33,1708.92,5805.44,0.401,0.055,0.144,9.19,3.05,5.45,197160.8,122942.6,164647.8,0.919,0.87,0.901,0.83,0.06,0.34,12157.96,1708.92,5534.72,0.251,0.055,0.139,2872255.8511413685,1935203.8290552674,2665891.4035438066,62.23735427856445,36.82553482055664,49.994224548339844,0.7736609484479514,0.7228588212955338,0.7565033190303211,13.4,2.0,4.38,221631.53,32270.04,121134.5,0.937,0.799,0.839,7.93,0.27,0.47,242963.49,5126.76,13660.08,0.474,0.142,0.276,11.05,3.28,6.92,223933.79999999996,140810.4,201867.6,0.933,0.889,0.925,0.86,0.27,0.47,16372.92,5126.76,13660.08,0.307,0.142,0.276
05,2.432076197037958,0.0,0.13658169909831486,3.725962233147584e-05,0.0,4.219298716634512e-06,0.015509025889992473,0.0,0.0008823086000544121,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,2.809151193747539,0.02274927019243478,0.2683701915223935,4.1948154830606654e-05,3.488765969450469e-07,4.227224962960463e-06,0.0069287760635436,5.516576280315878e-05,0.0006928733977982206,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0
06,1.8669395958760049,0.0,0.06574386598003912,2.7700427381205373e-05,0.0,4.22014909418067e-06,0.1902442510082924,0.0,0.00041703763125017375,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,422.0116444201267,0.020227492495905608,0.10714086228773567,0.04209445044398308,4.5048298602523573e-07,4.230888862366555e-06,0.06375391729607782,9.881211075902702e-05,0.0006732518950784578,0.02,0.0,0.0,29.0,0.0,0.0,0.209,0.0,0.001,0.0,0.0,0.0,3.59,0.0,0.0,0.021,0.0,0.001,0.01,0.0,0.0,16.4,0.0,0.0,0.063,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.001
