event_num,x,y,d,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future
,,,,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28
,,,,total_discharge,max_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,total_discharge,max_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient
01,0,-20000,20000.0,221719.47405933082,16.480119705200195,0.4633104561566578,1.26,7107.9,0.629,0.55,8483.09,0.123,1.79,15981.799999999997,0.586,0.06,193.64,0.032,319809.4640661254,54.01192855834961,0.49383993928976244,6.13,12873.1,0.815,0.15,394.8,0.046,7.04,29200.2,0.774,0.15,394.8,0.046
01,0,-19500,19500.0,225508.17011310393,14.338805198669434,0.46688734749050775,1.27,7154.300000000001,0.63,0.5,8412.25,0.123,1.79,16654.199999999997,0.594,0.06,210.56000000000003,0.033,322281.23863258434,54.824668884277344,0.4985714442192814,6.28,12945.6,0.817,0.18,407.96,0.047,7.55,29479.000000000004,0.78,0.18,407.96,0.047
01,0,-19000,19000.0,226169.19098735944,11.945122718811035,0.47034574415169805,0.81,4627.02,0.618,0.43,7880.95,0.119,1.72,17170.8,0.6,0.06,216.19999999999996,0.034,323879.4765109168,57.93852615356445,0.5095963536215194,7.5,11930.6,0.802,0.19,413.6000000000001,0.047,7.75,30061.199999999997,0.787,0.19,413.6000000000001,0.047
01,0,-18500,18500.0,222678.78851969,11.326767921447754,0.46859998165074845,0.82,4862.19,0.629,0.38,7207.970000000001,0.114,1.62,17548.0,0.605,0.05,235.0,0.035,321386.1180616728,59.64970397949219,0.5182892735049703,7.59,11855.2,0.801,0.21,441.8,0.049,7.79,30618.800000000003,0.793,0.21,441.8,0.049
01,0,-18000,18000.0,213600.97824987606,10.566723823547363,0.4629967692292925,1.43,9783.84,0.621,0.31,6145.37,0.105,1.5,17728.4,0.607,0.06,240.64,0.036,311152.9188204572,63.59729766845703,0.5201430529278531,4.26,7050.480000000001,0.799,0.23,447.44,0.049,7.51,31734.000000000004,0.797,0.23,447.44,0.049
01,0,-17500,17500.0,200857.22341976798,9.695260047912598,0.4519201135480246,0.58,5037.06,0.636,0.29,5011.93,0.093,1.36,17744.8,0.607,0.05,246.28,0.036,299805.8851591981,65.7063980102539,0.5219671013443387,5.28,8200.8,0.803,0.3,481.28,0.05,8.45,32726.199999999997,0.8,0.3,481.28,0.05
01,0,-17000,17000.0,183279.50702028722,8.629403114318848,0.43406820385902434,0.54,4942.59,0.631,0.22,3949.33,0.08,1.19,17384.0,0.602,0.05,250.04,0.036,278927.83233958465,66.49005889892578,0.5081173498486942,4.95,7569.659999999999,0.789,0.32,488.8,0.05,9.04,32513.0,0.798,0.32,488.8,0.05
01,0,-16500,16500.0,164570.58857533484,7.5729570388793945,0.4127393651709261,0.44,4671.24,0.618,0.18,2904.44,0.065,1.03,16769.0,0.594,0.02,244.4,0.036,261249.99396918618,66.30589294433594,0.4974687708135574,4.21,6214.92,0.751,0.34,471.87999999999994,0.05,9.51,32283.399999999998,0.795,0.34,471.87999999999994,0.05
