event_num,x,y,d,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,historical,future,future,future,future,future,future,future,future,future,future,future,future,future,future,future
,,,,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28,basin discharge,basin discharge,basin discharge,Max_Specific_Discharge,Max_Specific_Discharge,Max_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Min_Specific_Discharge,Most_Urban_S27,Most_Urban_S27,Most_Urban_S27,Least_Urban_S28,Least_Urban_S28,Least_Urban_S28
,,,,total_discharge,max_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,total_discharge,max_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient,max_discharge,total_discharge,runoff_coefficient
01,0,-21000,21000.0,63884.92579211625,4.987756729125977,0.1375971589292258,0.59,2655.76,0.192,0.01,39.48,0.007,0.8,6461.6,0.246,0.01,39.48,0.007,114735.24135792046,26.785018920898438,0.18058005966989754,2.07,4870.08,0.25,0.02,67.68,0.009,2.76,11668.6,0.323,0.02,67.68,0.009
01,0,-20500,20500.0,65889.03164270142,4.784280776977539,0.13958831725551515,0.64,2769.68,0.195,0.01,39.48,0.007,0.86,6601.000000000001,0.249,0.01,39.48,0.007,117308.14848098441,27.280492782592773,0.1814316553520565,2.38,5033.84,0.252,0.03,77.08,0.009,3.19,12259.0,0.328,0.03,77.08,0.009
01,0,-20000,20000.0,67559.47103857639,4.913539886474609,0.14117392925174166,0.57,2731.56,0.259,0.01,39.48,0.007,0.91,6879.800000000001,0.252,0.01,39.48,0.007,119387.4516696293,26.997940063476562,0.18435443133821292,2.31,4007.8,0.254,0.03,78.96,0.009,3.54,12455.8,0.33,0.03,78.96,0.009
01,0,-19500,19500.0,68710.20123534455,4.666576862335205,0.1422561479001816,0.52,2241.7,0.198,0.01,43.24,0.007,0.99,7175.0,0.256,0.01,43.24,0.007,120365.15852426575,25.70145034790039,0.1862057846548767,2.36,4028.1,0.254,0.04,84.6,0.01,3.81,12570.6,0.333,0.04,84.6,0.01
01,0,-19000,19000.0,68796.33857900016,3.8813111782073975,0.14307017203621025,0.32,1449.21,0.193,0.01,45.12,0.007,0.89,7396.4,0.258,0.01,45.12,0.007,121042.31137592683,29.287195205688477,0.1904496116135157,2.75,3706.2,0.249,0.04,88.36,0.01,3.94,12816.6,0.335,0.04,88.36,0.01
01,0,-18500,18500.0,67764.37657155389,3.6702141761779785,0.14260175308613526,0.33,1521.57,0.197,0.01,48.88,0.007,0.85,7543.999999999999,0.26,0.01,48.88,0.007,118979.79376546435,32.05205154418945,0.19187496723377534,2.78,3683.0,0.249,0.06,92.12,0.01,3.98,13062.6,0.338,0.06,92.12,0.01
01,0,-18000,18000.0,65282.39482668287,3.3948984146118164,0.14150467914499257,0.58,2815.2,0.179,0.01,50.76,0.007,0.79,7617.799999999999,0.261,0.01,50.76,0.007,114370.83060103934,33.4417724609375,0.19118957077515206,1.51,2100.18,0.238,0.06,92.12,0.01,3.89,13546.4,0.34,0.06,92.12,0.01
01,0,-17500,17500.0,61719.574808847436,3.076087236404419,0.13886638867579318,0.21,1575.84,0.199,0.01,50.76,0.007,0.72,7626.000000000001,0.261,0.01,50.76,0.007,108285.82119486526,33.21159362792969,0.18852744059964655,1.89,2544.66,0.249,0.07,95.88,0.01,4.31,13972.8,0.342,0.07,95.88,0.01
