,Factors,Factors,Factors,Factors,Factors,Factors,Factors,Factors,2012_01_13,2012_01_13,2012_01_13,2013_01_06,2013_01_06,2013_01_06,2014_12_14,2014_12_14,2014_12_14,2015_10_07,2015_10_07,2015_10_07,2015_10_27,2015_10_27,2015_10_27,2015_10_28,2015_10_28,2015_10_28,2015_12_14,2015_12_14,2015_12_14,2016_01_08,2016_01_08,2016_01_08,2016_12_13,2016_12_13,2016_12_13,2016_12_19,2016_12_19,2016_12_19,2016_12_27,2016_12_27,2016_12_27,2017_11_21,2017_11_21,2017_11_21,2017_12_24,2017_12_24,2017_12_24,2018_01_01,2018_01_01,2018_01_01,2018_01_05,2018_01_05,2018_01_05,2018_01_14,2018_01_14,2018_01_14,2018_01_23,2018_01_23,2018_01_23,2018_01_25,2018_01_25,2018_01_25,2018_02_13,2018_02_13,2018_02_13,2018_12_07,2018_12_07,2018_12_07,2019_12_13,2019_12_13,2019_12_13,2019_12_27,2019_12_27,2019_12_27,2020_01_19,2020_01_19,2020_01_19
,IMP,Storage,Width,N,PCT_ZERO,CN,PCT_ROUTED,EVAP,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time,Total Volume,Max Runoff,Max Runoff Time
682,1.0,5.0,0.7,1.0,1.0,1.0,40.0,4.0,612.0,30.96875,2012-01-13 18:30:00,1204.0,52.21875,2013-01-06 06:00:00,22.625,2.001953125,2014-12-14 06:25:00,132.625,10.8125,2015-10-07 03:50:00,105.125,17.46875,2015-10-27 06:50:00,780.5,46.75,2015-10-28 12:20:00,124.8125,15.140625,2015-12-14 07:55:00,251.375,36.5625,2016-01-08 18:50:00,265.5,14.4375,2016-12-13 21:40:00,216.875,27.3125,2016-12-19 16:35:00,422.0,8.921875,2016-12-27 12:05:00,91.8125,12.171875,2017-11-21 05:40:00,166.375,15.2421875,2017-12-24 12:55:00,66.875,6.9453125,2018-01-01 05:45:00,522.5,20.984375,2018-01-05 10:10:00,97.875,8.65625,2018-01-14 19:05:00,105.875,10.359375,2018-01-23 06:25:00,419.25,19.9375,2018-01-25 10:05:00,189.75,9.9375,2018-02-13 07:20:00,1167.0,33.09375,2018-12-06 19:45:00,283.5,21.59375,2019-12-13 00:50:00,183.875,22.390625,2019-12-27 10:35:00,796.0,22.046875,2020-01-19 03:45:00
701,1.0,5.0,1.3,1.0,1.0,1.0,45.0,4.0,609.5,30.109375,2012-01-13 18:30:00,1189.0,56.25,2013-01-06 06:00:00,21.40625,2.0546875,2014-12-14 06:25:00,123.625,10.8671875,2015-10-07 03:40:00,98.875,17.734375,2015-10-27 06:50:00,750.0,45.96875,2015-10-28 12:20:00,116.125,14.84375,2015-12-14 07:55:00,234.125,36.03125,2016-01-08 18:50:00,251.25,13.9609375,2016-12-13 21:35:00,199.75,26.59375,2016-12-19 16:30:00,395.5,9.4140625,2016-12-27 12:05:00,86.3125,12.9765625,2017-11-21 05:40:00,155.125,15.125,2017-12-24 12:55:00,63.34375,7.359375,2018-01-01 05:45:00,500.0,21.90625,2018-01-05 10:05:00,91.8125,8.40625,2018-01-14 19:05:00,100.0,10.4296875,2018-01-23 06:25:00,395.75,18.9375,2018-01-25 10:05:00,175.625,10.125,2018-02-13 07:20:00,1187.0,36.0625,2018-12-06 19:45:00,262.25,22.125,2019-12-13 00:50:00,174.125,21.765625,2019-12-27 10:35:00,801.5,21.703125,2020-01-19 03:45:00
708,1.0,7.0,0.7,1.0,1.0,1.0,35.0,4.0,593.0,32.375,2012-01-13 18:25:00,1054.0,46.6875,2013-01-06 06:00:00,24.5,2.21875,2014-12-14 06:25:00,124.375,8.7890625,2015-10-07 03:50:00,96.375,14.4296875,2015-10-27 06:50:00,693.0,48.40625,2015-10-28 12:20:00,116.5625,13.6796875,2015-12-14 07:55:00,255.375,35.75,2016-01-08 18:55:00,262.5,14.0703125,2016-12-13 21:40:00,217.625,27.359375,2016-12-19 16:35:00,429.5,9.6015625,2016-12-27 12:05:00,83.25,9.515625,2017-11-21 05:45:00,161.375,14.3671875,2017-12-24 12:55:00,61.125,6.0078125,2018-01-01 05:45:00,516.0,23.34375,2018-01-05 10:05:00,91.25,7.6953125,2018-01-14 19:05:00,98.9375,9.03125,2018-01-23 06:25:00,419.75,21.4375,2018-01-25 10:05:00,186.375,11.09375,2018-02-13 07:20:00,1008.0,33.125,2018-12-06 19:45:00,287.75,23.53125,2019-12-13 00:50:00,176.125,22.078125,2019-12-27 10:35:00,723.0,22.640625,2020-01-19 03:45:00
709,1.0,7.0,0.7,1.0,1.0,1.0,40.0,4.0,557.0,30.9375,2012-01-13 18:30:00,1043.0,44.78125,2013-01-06 06:00:00,22.546875,2.001953125,2014-12-14 06:25:00,114.5625,8.0859375,2015-10-07 03:50:00,88.875,13.25,2015-10-27 06:50:00,694.5,46.625,2015-10-28 12:20:00,107.375,12.5390625,2015-12-14 07:55:00,238.25,33.59375,2016-01-08 18:55:00,242.25,12.9609375,2016-12-13 21:40:00,201.5,25.34375,2016-12-19 16:35:00,396.25,8.7734375,2016-12-27 12:05:00,76.5625,8.796875,2017-11-21 05:45:00,148.75,13.21875,2017-12-24 13:00:00,56.0625,5.421875,2018-01-01 05:45:00,479.25,20.828125,2018-01-05 10:10:00,84.125,7.0078125,2018-01-14 19:05:00,91.4375,8.21875,2018-01-23 06:25:00,388.25,19.8125,2018-01-25 10:05:00,171.75,9.9140625,2018-02-13 07:20:00,991.0,32.15625,2018-12-06 19:45:00,265.5,21.46875,2019-12-13 00:50:00,165.375,21.5,2019-12-27 10:35:00,694.5,22.140625,2020-01-19 03:45:00
710,1.0,7.0,0.7,1.0,1.0,1.0,45.0,4.0,521.0,29.0625,2012-01-13 18:30:00,1033.0,44.03125,2013-01-06 06:05:00,20.59375,1.7958984375,2014-12-14 06:25:00,105.4375,7.3828125,2015-10-07 03:50:00,81.5625,12.0859375,2015-10-27 06:50:00,695.5,45.0,2015-10-28 12:20:00,98.3125,11.390625,2015-12-14 07:55:00,220.375,31.703125,2016-01-08 18:55:00,222.0,11.796875,2016-12-13 21:40:00,184.75,23.25,2016-12-19 16:35:00,363.25,7.921875,2016-12-27 12:05:00,70.1875,8.0390625,2017-11-21 05:45:00,136.375,12.1953125,2017-12-24 13:00:00,51.53125,4.85546875,2018-01-01 05:45:00,447.25,19.421875,2018-01-05 10:10:00,76.9375,6.40234375,2018-01-14 19:05:00,83.5625,7.3984375,2018-01-23 06:25:00,359.0,18.1875,2018-01-25 10:05:00,157.5,8.8984375,2018-02-13 07:20:00,977.0,30.109375,2018-12-06 19:45:00,243.625,19.40625,2019-12-13 00:55:00,155.0,20.8125,2019-12-27 10:35:00,667.0,22.03125,2020-01-19 03:45:00
717,1.0,7.0,1.0,1.0,1.0,1.0,35.0,4.0,594.0,33.28125,2012-01-13 18:25:00,1059.0,48.90625,2013-01-06 06:00:00,25.015625,2.41015625,2014-12-14 06:25:00,125.875,9.2421875,2015-10-07 03:50:00,97.625,15.3671875,2015-10-27 06:50:00,685.5,48.5625,2015-10-28 12:20:00,117.1875,14.265625,2015-12-14 07:55:00,254.75,37.46875,2016-01-08 18:50:00,264.75,14.5078125,2016-12-13 21:35:00,217.5,28.078125,2016-12-19 16:35:00,431.25,10.1484375,2016-12-27 12:05:00,84.625,10.078125,2017-11-21 05:40:00,163.125,15.171875,2017-12-24 12:55:00,61.65625,6.4453125,2018-01-01 05:45:00,519.0,25.90625,2018-01-05 10:05:00,92.0625,7.921875,2018-01-14 19:05:00,101.3125,9.78125,2018-01-23 06:25:00,422.25,21.84375,2018-01-25 10:05:00,187.625,11.96875,2018-02-13 07:20:00,1017.5,35.0,2018-12-06 19:45:00,288.25,25.34375,2019-12-13 00:50:00,173.625,22.0625,2019-12-27 10:35:00,724.0,22.84375,2020-01-19 03:45:00
718,1.0,7.0,1.0,1.0,1.0,1.0,40.0,4.0,559.5,31.046875,2012-01-13 18:25:00,1047.0,47.71875,2013-01-06 06:00:00,23.015625,2.177734375,2014-12-14 06:25:00,116.1875,8.484375,2015-10-07 03:50:00,89.9375,14.1640625,2015-10-27 06:50:00,687.0,46.75,2015-10-28 12:20:00,108.25,13.125,2015-12-14 07:55:00,237.25,35.4375,2016-01-08 18:50:00,243.875,13.3671875,2016-12-13 21:35:00,202.125,26.234375,2016-12-19 16:35:00,397.75,9.2734375,2016-12-27 12:05:00,77.9375,9.25,2017-11-21 05:45:00,150.625,14.0078125,2017-12-24 12:55:00,56.78125,5.84765625,2018-01-01 05:45:00,483.0,22.796875,2018-01-05 10:05:00,85.0,7.3046875,2018-01-14 19:05:00,93.3125,8.9140625,2018-01-23 06:25:00,390.5,20.328125,2018-01-25 10:05:00,173.125,10.765625,2018-02-13 07:20:00,1002.0,34.125,2018-12-06 19:45:00,267.25,23.28125,2019-12-13 00:50:00,162.5,21.703125,2019-12-27 10:35:00,695.5,22.21875,2020-01-19 03:45:00
719,1.0,7.0,1.0,1.0,1.0,1.0,45.0,4.0,523.5,29.390625,2012-01-13 18:30:00,1036.0,47.4375,2013-01-06 06:00:00,21.03125,1.953125,2014-12-14 06:25:00,106.4375,7.71875,2015-10-07 03:50:00,82.875,12.9296875,2015-10-27 06:50:00,685.5,45.0,2015-10-28 12:20:00,99.1875,11.9453125,2015-12-14 07:55:00,219.75,32.71875,2016-01-08 18:50:00,223.625,12.1875,2016-12-13 21:35:00,185.125,24.171875,2016-12-19 16:35:00,364.75,8.40625,2016-12-27 12:05:00,71.5625,8.46875,2017-11-21 05:45:00,137.875,12.7578125,2017-12-24 12:55:00,51.875,5.2265625,2018-01-01 05:45:00,451.0,20.484375,2018-01-05 10:05:00,77.9375,6.6953125,2018-01-14 19:05:00,85.375,8.0625,2018-01-23 06:25:00,362.0,18.609375,2018-01-25 10:05:00,158.375,9.640625,2018-02-13 07:20:00,989.5,32.375,2018-12-06 19:45:00,245.125,20.890625,2019-12-13 00:50:00,152.0,21.140625,2019-12-27 10:35:00,670.0,21.84375,2020-01-19 03:45:00
727,1.0,7.0,1.3,1.0,1.0,1.0,40.0,4.0,561.0,31.515625,2012-01-13 18:25:00,1050.0,49.5625,2013-01-06 06:00:00,23.328125,2.29296875,2014-12-14 06:25:00,116.625,8.734375,2015-10-07 03:50:00,90.75,14.703125,2015-10-27 06:50:00,681.0,46.8125,2015-10-28 12:20:00,109.0625,13.4296875,2015-12-14 07:55:00,237.375,36.4375,2016-01-08 18:50:00,245.25,13.6796875,2016-12-13 21:35:00,202.625,26.578125,2016-12-19 16:35:00,399.0,9.6015625,2016-12-27 12:05:00,79.0625,9.671875,2017-11-21 05:40:00,151.75,14.5,2017-12-24 12:55:00,57.21875,6.07421875,2018-01-01 05:45:00,485.5,24.65625,2018-01-05 10:05:00,86.0625,7.51953125,2018-01-14 19:05:00,94.4375,9.3359375,2018-01-23 06:25:00,392.5,20.453125,2018-01-25 10:05:00,173.75,11.3671875,2018-02-13 07:20:00,1009.0,35.25,2018-12-06 19:45:00,268.0,24.25,2019-12-13 00:50:00,161.5,21.609375,2019-12-27 10:35:00,697.5,22.34375,2020-01-19 03:45:00
